Word	increment	TP	FP	FN	Precision	Recall	Permperc	groupkeyperc
android.permission.WRITE_SETTINGS
free ringtone	8.97889240062	505.74754911	133.277081017	2154	0.791436707235	0.190148703879	0.0806461069418	0.0187331329188
free ringtones	8.97889240062	505.74754911	133.277081017	2154	0.791436707235	0.190148703879	0.0806461069418	0.0187331329188
popular ringtones	8.83901763587	557.950634694	150.500970631	2152	0.787563512455	0.205889593541	0.0806461069418	0.0207683983737
popular ringtone	8.83901763587	557.950634694	150.500970631	2152	0.787563512455	0.205889593541	0.0806461069418	0.0207683983737
late ringtones	8.83418852355	549.069048155	149.581720492	2152	0.785899154192	0.203278419902	0.0806461069418	0.0204810849158
iphone rington	8.76808644692	604.828277368	164.237722371	2137	0.786445217411	0.220593055503	0.0806461069418	0.0225453212869
different ringtones	8.76808644692	604.828277368	164.237722371	2137	0.786445217411	0.220593055503	0.0806461069418	0.0225453212869
ringtone	8.76808644692	604.828277368	164.237722371	2137	0.786445217411	0.220593055503	0.0806461069418	0.0225453212869
ringtones	8.76808644692	604.828277368	164.237722371	2137	0.786445217411	0.220593055503	0.0806461069418	0.0225453212869
best ringtones	8.76808644692	604.828277368	164.237722371	2137	0.786445217411	0.220593055503	0.0806461069418	0.0225453212869
alarm setting	6.73399890272	350.878528337	215.086012886	2367	0.619965568124	0.129100150974	0.0806461069418	0.0165913620199
alarm	6.72740276327	363.518070035	221.983255116	2367	0.620866348922	0.133131537939	0.0806461069418	0.0171640866895
next alarm	6.72740276327	363.518070035	221.983255116	2367	0.620866348922	0.133131537939	0.0806461069418	0.0171640866895
alarm volume	4.6845261272	253.046652968	308.280071345	2406	0.450801007698	0.0951644277041	0.0806461069418	0.0164554035036
music ringtones	4.21015877626	559.795155411	825.398863133	1979	0.404127615278	0.220496385546	0.0806461069418	0.0406072355342
contact ringtone	4.20667614001	577.3099909	843.079404268	1996	0.406444875514	0.224345295725	0.0806461069418	0.0416389949334
contact ringtones	4.20667614001	577.3099909	843.079404268	1996	0.406444875514	0.224345295725	0.0806461069418	0.0416389949334
original sound	3.97137679428	388.873329373	587.117982155	2328	0.398439335248	0.143132668413	0.0806461069418	0.0286113775659
sound	3.96624726718	394.711362893	595.900789359	2328	0.398451969316	0.144969962028	0.0806461069418	0.029039990392
sound play	3.96624726718	394.711362893	595.900789359	2328	0.398451969316	0.144969962028	0.0806461069418	0.029039990392
