Word	increment	TP	FP	FN	Precision	Recall	Permperc	groupkeyperc
android.permission.WRITE_SETTINGS
free ringtone	8.93622494589	499.164480016	134.085320249	2162	0.788258408936	0.187573704581	0.0806461069418	0.0185638426438
free ringtones	8.93622494589	499.164480016	134.085320249	2162	0.788258408936	0.187573704581	0.0806461069418	0.0185638426438
popular ringtones	8.78636827509	550.185661286	152.134587097	2160	0.783382883453	0.203006631297	0.0806461069418	0.0205886564371
popular ringtone	8.78636827509	550.185661286	152.134587097	2160	0.783382883453	0.203006631297	0.0806461069418	0.0205886564371
late ringtones	8.7813376186	541.447367267	151.179938117	2160	0.781729745648	0.200428619794	0.0806461069418	0.0203045059036
iphone rington	8.70827452614	594.245468579	165.961551871	2148	0.781689003907	0.216700319278	0.0806461069418	0.0222856185639
ringtones	8.70827452614	594.245468579	165.961551871	2148	0.781689003907	0.216700319278	0.0806461069418	0.0222856185639
different ringtones	8.70827452614	594.245468579	165.961551871	2148	0.781689003907	0.216700319278	0.0806461069418	0.0222856185639
ringtone	8.70827452614	594.245468579	165.961551871	2148	0.781689003907	0.216700319278	0.0806461069418	0.0222856185639
best ringtones	8.70827452614	594.245468579	165.961551871	2148	0.781689003907	0.216700319278	0.0806461069418	0.0222856185639
alarm setting	6.69278060455	357.76218988	222.409905755	2360	0.61664839204	0.131638519077	0.0806461069418	0.0170078592764
next alarm	6.68842046362	370.654018155	229.352888738	2360	0.617749585708	0.135738184219	0.0806461069418	0.0175893206758
alarm	6.68842046362	370.654018155	229.352888738	2360	0.617749585708	0.135738184219	0.0806461069418	0.0175893206758
alarm volume	4.67038346151	255.606516025	312.85866751	2403	0.449643220778	0.0961430412829	0.0806461069418	0.0166646688419
contact ringtone	4.24614832091	565.787913596	814.130513238	2014	0.410015478157	0.219315669561	0.0806461069418	0.040452580524
contact ringtones	4.24614832091	565.787913596	814.130513238	2014	0.410015478157	0.219315669561	0.0806461069418	0.040452580524
music ringtones	4.15711143345	555.740454687	832.801090401	1986	0.400233220715	0.218645634593	0.0806461069418	0.0407053689343
original sound	4.00293260226	394.241794683	588.737055309	2324	0.401068440777	0.145035587141	0.0806461069418	0.0288162186325
sound	3.99770496118	400.166405775	597.550333466	2324	0.40108218098	0.146894993245	0.0806461069418	0.0292482627592
sound play	3.99770496118	400.166405775	597.550333466	2324	0.40108218098	0.146894993245	0.0806461069418	0.0292482627592
different sound	3.99770496118	400.166405775	597.550333466	2324	0.40108218098	0.146894993245	0.0806461069418	0.0292482627592
new sound	3.99770496118	400.166405775	597.550333466	2324	0.40108218098	0.146894993245	0.0806461069418	0.0292482627592
high-quality sounding	3.63286851826	267.001204131	457.86178826	2406	0.368347131711	0.0998881720361	0.0806461069418	0.0212495014186
sound quality	3.62070867987	281.021848406	481.954590008	2406	0.368323101812	0.104584876588	0.0806461069418	0.022366804597
brightness	3.60840356193	87.7265852359	148.847180619	2651	0.370821273943	0.0320318887285	0.0806461069418	0.00693520655063
bright	3.60840356193	87.7265852359	148.847180619	2651	0.370821273943	0.0320318887285	0.0806461069418	0.00693520655063
nature sound	3.60169305289	310.650585376	531.68703345	2406	0.368795811125	0.114350585625	0.0806461069418	0.0246932932348
natural sound	3.60169305289	310.650585376	531.68703345	2406	0.368795811125	0.114350585625	0.0806461069418	0.0246932932348
sound effect	3.58978051267	314.295116221	539.569353878	2406	0.368085483384	0.115537139462	0.0806461069418	0.0250312051506
mp file	3.46112673832	111.525183962	200.129857607	2610	0.357848162508	0.0409789277789	0.0806461069418	0.00913622893906
mp song	3.36021507701	107.774537006	200.187305756	2617	0.349960683569	0.0395535614204	0.0806461069418	0.00902796208847
mp music	3.35699391933	128.156921114	237.692198036	2606	0.35029993078	0.0468725551649	0.0806461069418	0.0107249389995
mp search	3.35055238156	122.239774986	227.610948261	2606	0.349405523166	0.0448053635561	0.0806461069418	0.0102559428719
mp video	3.34858070866	105.270679504	196.478828085	2617	0.348867775609	0.0386701735048	0.0806461069418	0.00884584625904
mp format	3.32155296826	122.449933637	230.340430683	2606	0.347089790485	0.0448789373511	0.0806461069418	0.0103421190291
notification ringtones	3.2854518247	540.964726361	1077.28703091	2028	0.334289596122	0.210576938177	0.0806461069418	0.0474393690569
ringtone notification	3.2854518247	540.964726361	1077.28703091	2028	0.334289596122	0.210576938177	0.0806461069418	0.0474393690569
ringtones notification	3.2854518247	540.964726361	1077.28703091	2028	0.334289596122	0.210576938177	0.0806461069418	0.0474393690569
mp	3.2680002383	142.058001842	271.260577171	2601	0.343700982862	0.0517881873976	0.0806461069418	0.0121165155667
best mp	3.2680002383	142.058001842	271.260577171	2601	0.343700982862	0.0517881873976	0.0806461069418	0.0121165155667
free mp	3.26688550703	132.788229661	254.313041022	2601	0.343032275319	0.0485729758511	0.0806461069418	0.0113479500083
mp player	3.2665308028	102.076230839	196.099723596	2621	0.342335554966	0.0374856310238	0.0806461069418	0.00874108684437
single day	2.82830397211	103.409021037	231.568183819	2647	0.308704650759	0.0375976882879	0.0806461069418	0.00981992275024
single	2.82830397211	103.409021037	231.568183819	2647	0.308704650759	0.0375976882879	0.0806461069418	0.00981992275024
